bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
111056.83+353907.2,167.73682,35.65202,H,Y,19.79,19.36,19.03,18.75,18.55,,U,,1.43,"P08            ",0.55,18.52,29.953,F,6.85,31.824,U,5.225,26.873,0.368,1.183,bllac,plotkin
111057.19+170455.7,167.7383,17.08216,H,N,19.91,19.43,19.02,18.62,18.34,,U,,1.11,,0.251,18.58,29.219,F,56.28,32.053,U,2.298,25.689,0.558,1.356,bllac,plotkin
111105.54+283843.4,167.7731,28.64539,H,N,22.05,20.61,19.9,19.63,19.38,0.033,T,0.297,1.55,,,20.5,26.812,U,0.95,28.509,R,4.276,24.061,0.334,1.056,bllac,plotkin
111130.90+345203.3,167.87875,34.8676,H,Y,19.77,19.64,19.41,19.2,18.93,,U,,1.01,"A07;P08        ",0.544,18.9,29.817,F,6.19,31.771,R,73.61,28.01,0.385,0.694,bllac,plotkin
111207.95+260803.7,168.03313,26.13436,H,N,19.57,19.2,18.81,18.54,18.27,0.45,R,0.177,0.69,,,18.24,29.909,F,9.11,31.774,R,9.101,26.896,0.367,1.157,bllac,plotkin
111224.60+175121.8,168.10252,17.85606,H,N,19.19,18.84,18.5,18.23,18.04,0.421,R,0.119,0.88,,,18.01,29.915,F,14.07,31.904,R,24.93,27.261,0.392,1.019,bllac,plotkin
111457.94+593532.0,168.74144,59.59225,H,N,18.42,18.25,18.18,18.13,18.16,1.585,R,,0.37,"P08            ",,18.16,31.226,F,5.31,32.573,R,3.688,27.919,0.265,1.27,bllac,plotkin
111706.25+201407.3,169.27605,20.23538,H,Y,17.36,17.01,16.6,16.32,16.18,0.138,R,0.125,1.31,,,16.28,29.531,F,117.46,31.845,R,577.3,27.499,0.456,0.78,bllac,plotkin
111717.53+000633.5,169.32307,0.10933,H,Y,19.84,19.6,19.18,18.83,18.53,0.451,R,0.169,0.86,"C05;A07;P08    ",,18.47,29.806,F,13.79,31.957,R,35.03,27.485,0.423,0.891,bllac,plotkin
111740.39+254846.6,169.41832,25.81294,H,Y,17.33,17.0,16.68,16.46,16.23,0.36,T,0.138,1.38,,,16.63,30.474,F,10.05,31.622,R,9.761,26.689,0.226,1.453,bllac,plotkin
111757.24+535554.9,169.48853,53.93193,H,N,18.05,17.76,17.5,17.32,17.13,0.72,L,0.06,0.79,"A07;P08        ",,17.11,30.834,F,13.69,32.355,R,6.751,27.283,0.299,1.364,bllac,plotkin
112048.06+421212.4,170.20029,42.20346,H,Y,17.37,17.23,17.0,16.86,16.78,,U,,0.59,"A07;P08        ",0.234,16.82,29.899,F,25.09,31.64,R,138.3,27.397,0.343,0.961,bllac,plotkin
112059.74+014456.9,170.24892,1.74914,H,N,20.19,19.8,19.2,18.76,18.45,0.368,R,0.291,0.74,"A07;P08        ",,19.1,29.479,F,24.03,32.019,R,12.83,26.83,0.5,1.017,bllac,plotkin
112211.81+431649.7,170.54921,43.28048,H,N,19.82,19.36,19.07,18.85,18.57,0.436,T,0.115,0.98,"P08            ",,18.54,29.729,F,3.02,31.266,U,2.776,26.345,0.303,1.299,bllac,plotkin
112405.35+204553.7,171.02232,20.76494,H,N,19.13,18.82,18.49,18.28,18.05,,U,,1.08,,0.437,18.02,29.934,F,10.76,31.821,R,4.543,26.563,0.372,1.294,bllac,plotkin
112448.05+120213.9,171.20023,12.03721,H,N,24.12,22.05,20.4,19.61,19.03,0.451,R,0.251,6.02,,,18.97,29.137,F,3.29,31.333,U,2.78,26.383,0.432,1.057,bllac,plotkin
112453.82+493409.7,171.22427,49.56938,H,Y,19.04,18.75,18.54,18.4,18.17,,U,,1.05,"C05;A07;P08    ",0.444,18.15,29.899,F,17.77,32.053,R,26.95,27.353,0.424,0.978,bllac,plotkin
112503.64+214300.1,171.2652,21.71671,H,N,18.84,18.46,18.17,17.96,17.74,,U,,0.93,,0.507,17.71,30.225,F,10.48,31.938,U,1.729,26.304,0.337,1.506,bllac,plotkin
112639.68+275513.1,171.66537,27.92033,H,N,23.71,20.82,20.13,19.97,19.95,,U,,2.17,,0.7,19.92,29.651,U,0.895,31.146,U,2.805,26.87,0.294,1.068,bllac,plotkin
112914.31+370317.9,172.30966,37.05498,H,N,20.05,19.53,19.12,18.71,18.47,,U,,1.41,"P08            ",0.456,18.44,29.779,F,70.0,32.671,U,3.846,26.536,0.57,1.245,bllac,plotkin
113024.77+281317.6,172.60321,28.22157,H,N,20.13,19.84,19.4,19.19,19.03,,U,,1.03,,0.58,19.0,29.843,F,3.2,31.539,U,3.113,26.706,0.334,1.204,bllac,plotkin
113115.50+023450.2,172.81459,2.58062,H,N,19.54,18.98,18.53,18.17,17.92,0.653,L,0.129,1.77,"C05;P08        ",,17.87,30.397,F,13.29,32.259,U,3.284,26.861,0.367,1.358,bllac,plotkin
113118.63+580858.8,172.82765,58.14968,H,N,17.53,17.09,16.71,16.41,16.26,0.36,R,0.114,0.55,"A07;P08        ",,16.67,30.422,F,31.8,32.121,R,2.446,26.087,0.335,1.664,bllac,plotkin
113245.61+003427.6,173.19005,0.57435,H,Y,18.45,17.95,17.44,17.19,16.85,1.321,T,,1.61,"C05;A07;P08    ",,17.37,31.714,F,493.15,34.403,R,3.943,27.739,0.529,1.527,bllac,plotkin
113503.57+320015.6,173.7649,32.00435,H,N,20.49,19.95,19.41,18.92,18.51,0.511,R,0.173,1.28,"A07;P08        ",,18.47,29.901,F,19.14,32.206,R,4.353,26.713,0.454,1.224,bllac,plotkin
113523.71+660941.1,173.8488,66.16142,H,N,19.65,19.29,18.94,18.67,18.32,,U,,0.79,"C05            ",0.579,18.31,30.132,N,62.354,32.827,U,1.134,26.266,0.531,1.484,bllac,plotkin
113630.09+673704.3,174.1254,67.61789,H,Y,18.39,17.74,17.19,16.83,16.63,0.134,R,0.232,1.3,"C05            ",,16.81,29.294,N,45.253,31.406,R,233.8,27.08,0.416,0.85,bllac,plotkin
113812.15+411352.8,174.55064,41.23134,H,N,20.94,20.35,19.79,19.27,18.91,0.574,T,0.205,1.93,"P08            ",,18.88,29.829,F,22.44,32.375,U,3.98,26.801,0.501,1.163,bllac,plotkin
114023.48+152809.7,175.09784,15.46937,H,N,18.28,17.94,17.54,17.31,17.04,0.244,R,0.161,0.33,"A07;P08        ",,17.25,29.788,F,62.03,32.071,R,87.5,27.242,0.449,0.978,bllac,plotkin
114221.76+334201.8,175.59068,33.7005,H,N,19.84,19.5,18.96,18.62,18.41,0.409,R,0.18,1.1,"P08            ",,18.38,29.718,F,3.95,31.328,U,3.03,26.316,0.317,1.306,bllac,plotkin
114312.11+612210.7,175.80046,61.36966,H,N,18.89,18.36,17.93,17.62,17.33,,U,,1.43,"C05;A07;P08    ",0.344,17.82,29.952,F,69.4,32.421,R,2.606,26.068,0.486,1.492,bllac,plotkin
114535.10-034001.4,176.39626,-3.66708,H,N,20.16,19.11,18.08,17.77,17.45,0.168,R,0.341,0.36,"A07;P08        ",,17.71,29.255,F,10.66,30.975,R,76.29,26.809,0.339,0.939,bllac,plotkin
114837.77+184009.0,177.1574,18.66919,H,N,20.29,19.88,19.42,19.08,18.78,,U,,1.23,,0.553,18.72,29.893,F,554.66,33.737,U,2.584,26.573,0.757,1.275,bllac,plotkin
114926.13+624332.4,177.35889,62.72569,H,N,19.79,19.3,18.93,18.63,18.29,0.763,T,0.147,1.44,"C05;P08        ",,18.27,30.428,F,17.44,32.508,U,1.746,26.76,0.41,1.408,bllac,plotkin
114930.35+243927.0,177.37646,24.6575,H,Y,18.94,18.6,18.27,18.02,17.82,0.402,R,0.161,0.16,,,17.78,30.036,F,16.32,31.928,R,99.34,27.813,0.373,0.854,bllac,plotkin
114955.67+103508.1,177.48196,10.58559,H,N,19.79,19.4,19.09,18.83,18.64,,U,,1.05,"P08            ",0.49,18.59,29.827,F,8.35,31.81,U,3.266,26.543,0.391,1.261,bllac,plotkin
115019.21+241753.8,177.58006,24.29829,H,Y,17.04,16.57,16.15,15.85,15.6,,U,,1.49,,0.119,16.46,29.597,F,751.1,32.52,U,2.201,24.938,0.575,1.789,bllac,plotkin
115034.75+415440.0,177.64482,41.91114,H,Y,17.54,17.27,17.02,16.84,16.7,,U,,0.97,"A07;P08        ",0.218,16.81,29.802,F,22.76,31.535,R,36.66,26.749,0.341,1.172,bllac,plotkin
115124.65+585917.7,177.85274,58.98826,H,Y,16.57,16.21,15.98,15.7,15.62,,U,,1.08,"C05;A07;P08    ",0.221,15.64,30.274,F,169.1,32.418,R,14.28,26.354,0.422,1.505,bllac,plotkin
115210.70+283721.3,178.04462,28.6226,H,Y,20.11,19.61,19.08,18.69,18.24,0.441,R,0.218,1.36,,,18.21,29.842,F,23.1,32.161,U,3.088,26.406,0.457,1.319,bllac,plotkin
115222.19+153148.1,178.09245,15.53004,H,N,21.63,20.98,20.52,20.03,19.69,,U,,1.78,"P08            ",0.638,19.65,29.659,F,21.64,32.451,U,4.666,26.988,0.55,1.026,bllac,plotkin
115244.85+340638.9,178.1869,34.11081,H,N,21.86,21.44,20.76,20.26,19.85,,U,,2.34,"A07;P08        ",0.688,19.82,29.666,F,1.86,31.449,R,3.634,26.963,0.351,1.038,bllac,plotkin
115342.91+382305.8,178.4288,38.38496,H,N,19.71,19.26,18.73,18.38,18.14,0.41,R,0.185,1.14,"P08            ",,18.11,29.823,F,123.84,32.827,U,3.044,26.322,0.591,1.344,bllac,plotkin
115404.55-001009.8,178.519,-0.16941,H,Y,19.29,18.91,18.41,18.1,17.85,0.254,R,0.225,0.66,"C05;A07;P08    ",,18.06,29.475,F,9.88,31.306,R,40.85,26.949,0.361,0.97,bllac,plotkin
115518.26+092641.2,178.82611,9.44478,H,N,19.93,19.64,19.39,19.08,18.83,0.667,T,0.158,0.89,"A07;P08        ",,18.79,30.081,F,15.92,32.355,R,3.64,26.929,0.448,1.21,bllac,plotkin
115548.40+613553.9,178.9517,61.59831,H,N,19.7,19.21,18.89,18.63,18.56,,U,,1.14,"C05;P08        ",0.508,18.51,29.891,F,3.37,31.447,U,2.391,26.447,0.306,1.322,bllac,plotkin
115709.53+282200.7,179.28973,28.36687,H,N,20.21,19.67,18.78,18.35,17.96,0.3,R,0.304,0.68,,,18.72,29.43,F,27.76,31.903,R,10.09,26.514,0.487,1.119,bllac,plotkin
115851.19+330847.5,179.71333,33.14655,H,N,20.97,20.39,19.38,18.92,18.59,0.31,T,0.32,1.11,,,19.33,29.227,U,0.96,30.47,U,4.229,26.17,0.245,1.174,bllac,plotkin
115854.37+093711.7,179.72656,9.61992,H,N,19.03,18.6,18.29,18.08,17.89,,U,,1.03,"P08            ",0.384,18.22,29.887,F,33.54,32.202,U,4.597,26.43,0.456,1.327,bllac,plotkin
120059.69+400913.1,180.2487,40.15365,H,N,23.8,20.2,19.61,19.45,19.39,3.366,R,,0.71,"P08;D09        ",,19.54,31.515,F,3.48,32.903,U,2.816,28.661,0.273,1.096,bllac,plotkin
120106.18-000701.6,180.27579,-0.11712,H,Y,20.09,19.05,18.08,17.72,17.38,0.165,R,0.379,1.5,"A07            ",,17.67,29.129,F,62.64,31.73,R,17.23,26.147,0.512,1.145,bllac,plotkin
120208.65+444422.4,180.53609,44.73958,H,Y,19.03,18.53,17.99,17.66,17.34,0.297,R,0.181,1.3,"P08            ",,17.96,29.737,F,53.77,32.18,U,2.21,25.843,0.481,1.495,bllac,plotkin
120257.06+385147.5,180.7378,38.86322,H,N,19.64,19.09,18.68,18.4,18.22,0.801,L,0.118,1.4,"A07;P08        ",,18.19,30.517,F,19.32,32.593,R,3.868,27.161,0.409,1.289,bllac,plotkin
120303.50+603119.1,180.7646,60.52199,H,N,17.71,16.95,16.36,16.02,15.62,0.065,R,0.154,1.25,"C05;A07;P08    ",,16.89,28.851,F,171.35,31.352,R,12.7,25.141,0.492,1.425,bllac,plotkin
120331.67+543009.0,180.88196,54.5025,H,N,20.46,19.93,19.35,18.86,18.53,0.478,T,0.271,1.28,"P08            ",,18.5,29.818,F,67.85,32.698,U,1.874,26.274,0.567,1.36,bllac,plotkin
120355.34+581945.5,180.98059,58.32932,H,N,19.48,19.03,18.57,18.24,17.96,,U,,1.41,"P08            ",0.482,17.93,30.045,F,41.81,32.496,U,2.167,26.347,0.483,1.42,bllac,plotkin
