Object Name,RA(deg),DEC(deg),Redshift
FBQS J112048.0+421212,170.20028,42.20346,0.124
2MASS J11205971+0144568,170.24895,1.7491,0.367789
SDSS J112211.80+431649.7,170.54921,43.28048,0.435437
SDSS J112405.35+204553.7,171.02233,20.76494,2.055
SDSS J112448.05+120213.9,171.20023,12.03721,0.450935
2MASS J11245388+4934100,171.22427,49.56938,2.145
SDSS J112503.64+214300.1,171.2652,21.71671,2.055
SDSS J112639.68+275513.1,171.66537,27.92033,3.285
SDSS J112809.07+022254.5,172.0378,2.38182,1.69899
SDSS J112914.31+370317.9,172.30963,37.05497,0.445
SDSS J113024.77+281317.6,172.60321,28.22157,1.09998
SDSS J113039.09-004023.0,172.66292,-0.67305,1.76521
2MASS J11311549+0234506,172.8146,2.58064,1.069
WISE J113118.62+580858.9,172.82765,58.14968,0.359646
WISE J113245.62+003427.7,173.19008,0.57439,1.223033
SDSS J113413.47+001041.9,173.55618,0.17834,1.485715
SDSS J113503.57+320015.6,173.76487,32.00422,0.510629
SDSS J113523.70+660941.0,173.84879,66.16141,2.075
WISE J113630.10+673704.4,174.12533,67.61789,0.134232
SDSS J113747.64+391941.5,174.44852,39.3282,2.395509
2MASS J11381218+4113531,174.5507,41.23145,0.573711
SDSS J113900.55-020140.0,174.75234,-2.02775,1.903
2MASX J11402348+1528094,175.09784,15.46937,0.244284
SDSS J114038.90+100535.3,175.16212,10.09316,0.489297
SDSS J114137.13-002729.8,175.40473,-0.45829,0.832275
SDSS J1141+0219,175.47227,2.32347,3.480672
SDSS J114221.76+334201.7,175.59068,33.7005,0.409394
WISE J114312.12+612210.8,175.80041,61.36966,0.475
LCRS B114301.7-032322,176.39627,-3.66713,0.167907
SDSS J114837.77+184009.0,177.1574,18.66916,0.405
SDSS J114926.13+624332.4,177.35896,62.7257,0.762
SDSS J114930.35+243927.0,177.37647,24.6575,0.401775
SDSS J114955.67+103508.1,177.48198,10.58559,1.08388
FBQS J115019.2+241753,177.58005,24.29829,0.2
FBQS J115034.7+415440,177.64482,41.91114,1.018
WISE J115124.66+585917.6,177.85275,58.98821,0.118
FBQS J115210.7+283721,178.04463,28.62256,0.441255
2MASS J11522215+1531479,178.09246,15.53004,1.054
SDSS J115244.85+340638.9,178.1869,34.11081,
FBQS J115251.9+330718,178.21629,33.12188,1.397596
FBQS J115326.7+361726,178.36127,36.29062,1.360856
FBQS J115342.9+382305,178.42878,38.38498,0.410456
SDSS J115353.35+502633.9,178.47232,50.44276,0.868529
