id , Source name , aro-aox-arx
543 , "5BZBJ0334-4008 " , 1.355
544 , "5BZBJ0334-3725 " , 1.537
545 , "5BZQJ0334+0800 " , -9.9
546 , "5BZBJ0335-4459 " , 1.323
547 , "5BZBJ0336-0347 " , 1.336
548 , "5BZQJ0336+3218 " , 1.263
549 , "5BZQJ0336-1302 " , 1.247
550 , "5BZQJ0336-3616 " , 1.189
551 , "5BZQJ0337-1204 " , -9.9
552 , "5BZQJ0338+3106 " , -9.9
553 , "5BZBJ0338-2443 " , 0.895
554 , "5BZQJ0339-0133 " , 1.28
555 , "5BZQJ0339-0146 " , 1.351
556 , "5BZQJ0340-6703 " , 1.182
557 , "5BZBJ0340-2119 " , 1.543
558 , "5BZQJ0341+3352 " , -9.9
559 , "5BZQJ0341-5954 " , 1.216
560 , "5BZUJ0342+3859 " , -9.9
561 , "5BZQJ0343-2530 " , 1.377
562 , "5BZQJ0343+3622 " , -9.9
563 , "5BZQJ0343-1141 " , 0.836
564 , "5BZQJ0344+1559 " , -9.9
565 , "5BZQJ0345+1453 " , 1.217
566 , "5BZQJ0345-0023 " , -9.9
567 , "5BZQJ0347+4842 " , -9.9
568 , "5BZQJ0348-2749 " , 1.156
569 , "5BZBJ0348-1610 " , 1.603
570 , "5BZBJ0349-1159 " , 0.678
571 , "5BZQJ0349-2102 " , 0.98
572 , "5BZQJ0350+5138 " , -9.9
573 , "5BZQJ0351-1153 " , -9.9
574 , "5BZQJ0351-7921 " , -9.9
575 , "5BZBJ0351-3703 " , 1.328
576 , "5BZBJ0353-3623 " , 1.037
577 , "5BZQJ0354-1616 " , -9.9
578 , "5BZBJ0354+8009 " , 1.382
579 , "5BZBJ0357-4955 " , 1.611
580 , "5BZUJ0357+2319 " , 1.47
581 , "5BZQJ0357-4812 " , 1.527
582 , "5BZQJ0357-4159 " , 1.93
583 , "5BZQJ0357-0751 " , -9.9
584 , "5BZQJ0357+0542 " , 1.309
585 , "5BZBJ0358-3054 " , 0.99
586 , "5BZQJ0359+5057 " , 1.916
587 , "5BZBJ0359-2615 " , -9.9
588 , "5BZQJ0359+3220 " , -9.9
589 , "5BZQJ0400+0550 " , -9.9
590 , "5BZGJ0401-1606 " , 2.763
591 , "5BZBJ0401+8153 " , 1.23
592 , "5BZQJ0401+2110 " , -9.9
593 , "5BZBJ0402-2615 " , 1.376
594 , "5BZQJ0402-3147 " , -9.9
595 , "5BZQJ0403+2600 " , 1.222
596 , "5BZBJ0403-2429 " , 0.864
597 , "5BZQJ0403-2444 " , -9.9
598 , "5BZQJ0403-3605 " , 1.25
599 , "5BZQJ0405-0739 " , -9.9
600 , "5BZQJ0405-1308 " , 1.367
601 , "5BZQJ0406-1749 " , -9.9
602 , "5BZQJ0406+0637 " , -9.9
603 , "5BZUJ0406-3826 " , 1.46
604 , "5BZBJ0407+0742 " , 1.635
